workload summary | sessions=25 steps=125 max_prompt_len=86239 max_prefix_len=67190 max_input_len=28766 max_output_len=6381 total_output_len=78138 max_arrival_time_ms=0.000 total_tool_wait_after_ms=1492867.000
sessions 0/25 | steps 12/125 completed=12 submitted=15 active=3 failed=0 | elapsed=96.2s
sessions 0/25 | steps 12/125 completed=12 submitted=17 active=5 failed=0 | elapsed=96.7s
sessions 0/25 | steps 12/125 completed=12 submitted=17 active=5 failed=0 | elapsed=97.2s
sessions 0/25 | steps 12/125 completed=12 submitted=17 active=5 failed=0 | elapsed=97.7s
sessions 0/25 | steps 12/125 completed=12 submitted=17 active=5 failed=0 | elapsed=98.2s
sessions 0/25 | steps 12/125 completed=12 submitted=17 active=5 failed=0 | elapsed=98.7s
sessions 0/25 | steps 12/125 completed=12 submitted=18 active=6 failed=0 | elapsed=99.2s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=99.7s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=100.2s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=100.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=101.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=101.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=102.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=102.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=103.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=103.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=104.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=104.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=105.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=105.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=106.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=106.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=107.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=107.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=108.3s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=108.8s
sessions 0/25 | steps 12/125 completed=12 submitted=19 active=7 failed=0 | elapsed=109.3s
prefix hit rate | request_id=claude:03a507f2-0448-911c-45b1-bf9ffb711f09_round_000002 planned=0.8963 actual=0.8963 delta=+0.0000 server_cached_prompt_tokens=14816 server_prompt_tokens=16531
sessions 0/25 | steps 13/125 completed=13 submitted=20 active=7 failed=0 | elapsed=109.8s
prefix hit rate | request_id=claude:00a24909-986f-18d3-c090-ab9e0603a55e_round_000001 planned=0.8645 actual=0.0000 delta=-0.8645 server_cached_prompt_tokens=0 server_prompt_tokens=19456
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=110.3s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=110.8s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=111.3s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=111.8s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=112.3s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=112.8s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=113.3s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=113.8s
sessions 0/25 | steps 14/125 completed=14 submitted=20 active=6 failed=0 | elapsed=114.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=114.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=115.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=115.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=116.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=116.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=117.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=117.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=118.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=118.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=119.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=119.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=120.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=120.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=121.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=121.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=122.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=122.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=123.3s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=123.8s
sessions 0/25 | steps 14/125 completed=14 submitted=21 active=7 failed=0 | elapsed=124.3s
