run,duration_s
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,10.0
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,15.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.1
pairB_cap2hc,20.8
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,25.1
pairB_cap2hc,30.1
pairB_cap2hc,30.1
pairB_cap2hc,30.1
pairB_cap2hc,30.1
pairB_cap2hc,35.1
pairB_cap2hc,45.2
pairB_cap2hc,60.2
pairB_cap2hc,60.3
pairB_cap2hc,60.3
pairB_cap2hc,70.3
pairB_cap2hc,185.7
pairB_cap2hc,200.8
pairB_cap2hc,215.9
pairB_cap2hc,236.0
pairB_cap2hc,511.3
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.0
cap3_hc,10.1
cap3_hc,15.0
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,15.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,20.1
cap3_hc,25.1
cap3_hc,25.1
cap3_hc,25.1
cap3_hc,30.1
cap3_hc,30.1
cap3_hc,35.1
cap3_hc,80.3
cap3_hc,150.6
cap3_hc,371.3
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.0
cap4_hc,10.1
cap4_hc,10.1
cap4_hc,10.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,15.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,20.1
cap4_hc,25.1
cap4_hc,25.1
cap4_hc,25.1
cap4_hc,25.1
cap4_hc,30.1
cap4_hc,30.2
cap4_hc,35.2
cap4_hc,45.2
cap4_hc,366.2
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.0
foyer_hc,10.1
foyer_hc,10.1
foyer_hc,10.1
foyer_hc,15.0
foyer_hc,15.0
foyer_hc,15.0
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,15.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.1
foyer_hc,20.2
foyer_hc,20.2
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,25.1
foyer_hc,30.1
foyer_hc,30.1
foyer_hc,40.2
foyer_hc,40.2
foyer_hc,50.2
foyer_hc,50.2
foyer_hc,55.2
foyer_hc,55.3
foyer_hc,65.2
foyer_hc,75.3
foyer_hc,90.3
foyer_hc,110.4
foyer_hc,115.5
foyer_hc,180.7
foyer_hc,185.7
foyer_hc,190.8
foyer_hc,386.2
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
foyer_hz1,10.0
